INSERT INTO operationrechargement (dateheuredebut,dateheurefin,idcontrole,idborne,nbkwheures) VALUES
('entretien annuel',2019,1,1,10,47,12),
('entretien annuel',2019,1,1,10,48,6),
('entretien annuel',2019,1,1,10,49,6),
('entretien annuel',2019,1,1,10,50,6),
('entretien annuel',2019,1,1,10,51,6),
('entretien annuel',2019,1,1,10,52,6),
('entretien annuel',2019,1,1,10,53,6),
('entretien annuel',2019,1,1,10,54,6),
('entretien annuel',2019,1,1,10,55,6),
('entretien annuel',2019,1,1,10,48,13),
('entretien annuel',2019,1,1,10,49,13),
('entretien annuel',2019,1,1,10,50,13),
('entretien annuel',2019,1,1,10,51,13),
('entretien annuel',2019,1,1,10,52,13),
('entretien annuel',2019,1,1,10,53,13),
('entretien annuel',2019,1,1,10,54,13),
('entretien annuel',2019,1,1,10,55,13),
('entretien annuel',2019,1,1,10,56,7),
('entretien annuel',2019,1,1,10,57,7),
('entretien annuel',2019,1,1,10,58,7),
('entretien annuel',2019,1,1,10,59,7),
('entretien annuel',2019,1,1,10,60,7),
('entretien annuel',2019,1,1,10,61,7),
('entretien annuel',2019,1,1,10,62,7),
('entretien annuel',2019,1,1,10,63,7),
('entretien annuel',2019,1,1,10,64,7),
('entretien annuel',2019,1,1,10,65,7),
('entretien annuel',2019,1,1,10,56,14),
('entretien annuel',2019,1,1,10,57,14),
('entretien annuel',2019,1,1,10,58,14),
('entretien annuel',2019,1,1,10,59,14),
('entretien annuel',2019,1,1,10,60,14),
('entretien annuel',2019,1,1,10,61,14),
('entretien annuel',2019,1,1,10,62,14),
('entretien annuel',2019,1,1,10,63,14),
('entretien annuel',2019,1,1,10,64,14),
('entretien annuel',2019,1,1,10,65,14),
('entretien annuel',2020,1,1,10,1,1),
('entretien annuel',2020,1,1,10,2,1),
('entretien annuel',2020,1,1,10,3,1),
('entretien annuel',2020,1,1,10,4,1),
('entretien annuel',2020,1,1,10,5,1),
('entretien annuel',2020,1,1,10,6,1),
('entretien annuel',2020,1,1,10,7,1),
('entretien annuel',2020,1,1,10,8,1),
('entretien annuel',2020,1,1,10,9,1),
('entretien annuel',2020,1,1,10,1,8),
('entretien annuel',2020,1,1,10,2,8),
('entretien annuel',2020,1,1,10,3,8),
('entretien annuel',2020,1,1,10,4,8),
('entretien annuel',2020,1,1,10,5,8),
('entretien annuel',2020,1,1,10,6,8),
('entretien annuel',2020,1,1,10,7,8),
('entretien annuel',2020,1,1,10,8,8),
('entretien annuel',2020,1,1,10,9,8),
('entretien annuel',2020,1,1,10,10,2),
('entretien annuel',2020,1,1,10,11,2),
('entretien annuel',2020,1,1,10,12,2),
('entretien annuel',2020,1,1,10,13,2),
('entretien annuel',2020,1,1,10,14,2),
('entretien annuel',2020,1,1,10,15,2),
('entretien annuel',2020,1,1,10,16,2),
('entretien annuel',2020,1,1,10,17,2),
('entretien annuel',2020,1,1,10,18,2),
('entretien annuel',2020,1,1,10,19,2),
('entretien annuel',2020,1,1,10,20,2),
('entretien annuel',2020,1,1,10,10,9),
('entretien annuel',2020,1,1,10,11,9),
('entretien annuel',2020,1,1,10,12,9),
('entretien annuel',2020,1,1,10,13,9),
('entretien annuel',2020,1,1,10,14,9),
('entretien annuel',2020,1,1,10,15,9),
('entretien annuel',2020,1,1,10,16,9),
('entretien annuel',2020,1,1,10,17,9),
('entretien annuel',2020,1,1,10,18,9),
('entretien annuel',2020,1,1,10,19,9),
('entretien annuel',2020,1,1,10,20,9),
('entretien annuel',2020,1,1,10,21,3),
('entretien annuel',2020,1,1,10,22,3),
('entretien annuel',2020,1,1,10,23,3),
('entretien annuel',2020,1,1,10,24,3),
('entretien annuel',2020,1,1,10,25,3),
('entretien annuel',2020,1,1,10,26,3),
('entretien annuel',2020,1,1,10,27,3),
('entretien annuel',2020,1,1,10,28,3),
('entretien annuel',2020,1,1,10,29,3),
('entretien annuel',2020,1,1,10,21,10),
('entretien annuel',2020,1,1,10,22,10),
('entretien annuel',2020,1,1,10,23,10),
('entretien annuel',2020,1,1,10,24,10),
('entretien annuel',2020,1,1,10,25,10),
('entretien annuel',2020,1,1,10,26,10),
('entretien annuel',2020,1,1,10,27,10),
('entretien annuel',2020,1,1,10,28,10),
('entretien annuel',2020,1,1,10,29,10),
('entretien annuel',2020,1,1,10,30,4),
('entretien annuel',2020,1,1,10,31,4),
('entretien annuel',2020,1,1,10,32,4),
('entretien annuel',2020,1,1,10,33,4),
('entretien annuel',2020,1,1,10,34,4),
('entretien annuel',2020,1,1,10,35,4),
('entretien annuel',2020,1,1,10,36,4),
('entretien annuel',2020,1,1,10,37,4),
('entretien annuel',2020,1,1,10,30,11),
('entretien annuel',2020,1,1,10,31,11),
('entretien annuel',2020,1,1,10,32,11),
('entretien annuel',2020,1,1,10,33,11),
('entretien annuel',2020,1,1,10,34,11),
('entretien annuel',2020,1,1,10,35,11),
('entretien annuel',2020,1,1,10,36,11),
('entretien annuel',2020,1,1,10,37,11),
('entretien annuel',2020,1,1,10,38,5),
('entretien annuel',2020,1,1,10,39,5),
('entretien annuel',2020,1,1,10,40,5),
('entretien annuel',2020,1,1,10,41,5),
('entretien annuel',2020,1,1,10,42,5),
('entretien annuel',2020,1,1,10,43,5),
('entretien annuel',2020,1,1,10,44,5),
('entretien annuel',2020,1,1,10,45,5),
('entretien annuel',2020,1,1,10,46,5),
('entretien annuel',2020,1,1,10,47,5),
('entretien annuel',2020,1,1,10,38,12),
('entretien annuel',2020,1,1,10,39,12),
('entretien annuel',2020,1,1,10,40,12),
('entretien annuel',2020,1,1,10,41,12),
('entretien annuel',2020,1,1,10,42,12),
('entretien annuel',2020,1,1,10,43,12),
('entretien annuel',2020,1,1,10,44,12),
('entretien annuel',2020,1,1,10,45,12),
('entretien annuel',2020,1,1,10,46,12),
('entretien annuel',2020,1,1,10,47,12),
('entretien annuel',2020,1,1,10,48,6),
('entretien annuel',2020,1,1,10,49,6),
('entretien annuel',2020,1,1,10,50,6),
('entretien annuel',2020,1,1,10,51,6),
('entretien annuel',2020,1,1,10,52,6),
('entretien annuel',2020,1,1,10,53,6),
('entretien annuel',2020,1,1,10,54,6),
('entretien annuel',2020,1,1,10,55,6),
('entretien annuel',2020,1,1,10,48,13),
('entretien annuel',2020,1,1,10,49,13),
('entretien annuel',2020,1,1,10,50,13),
('entretien annuel',2020,1,1,10,51,13),
('entretien annuel',2020,1,1,10,52,13),
('entretien annuel',2020,1,1,10,53,13),
('entretien annuel',2020,1,1,10,54,13),
('entretien annuel',2020,1,1,10,55,13),
('entretien annuel',2020,1,1,10,56,7),
('entretien annuel',2020,1,1,10,57,7),
('entretien annuel',2020,1,1,10,58,7),
('entretien annuel',2020,1,1,10,59,7),
('entretien annuel',2020,1,1,10,60,7),
('entretien annuel',2020,1,1,10,61,7),
('entretien annuel',2020,1,1,10,62,7),
('entretien annuel',2020,1,1,10,63,7),
('entretien annuel',2020,1,1,10,64,7),
('entretien annuel',2020,1,1,10,65,7),
('entretien annuel',2020,1,1,10,56,14),
('entretien annuel',2020,1,1,10,57,14),
('entretien annuel',2020,1,1,10,58,14),
('entretien annuel',2020,1,1,10,59,14),
('entretien annuel',2020,1,1,10,60,14),
('entretien annuel',2020,1,1,10,61,14),
('entretien annuel',2020,1,1,10,62,14),
('entretien annuel',2020,1,1,10,63,14),
('entretien annuel',2020,1,1,10,64,14),
('entretien annuel',2020,1,1,10,65,14),
('entretien annuel',2021,1,1,10,1,1),
('entretien annuel',2021,1,1,10,2,1),
('entretien annuel',2021,1,1,10,3,1),
('entretien annuel',2021,1,1,10,4,1),
('entretien annuel',2021,1,1,10,5,1),
('entretien annuel',2021,1,1,10,6,1),
('entretien annuel',2021,1,1,10,7,1),
('entretien annuel',2021,1,1,10,8,1),
('entretien annuel',2021,1,1,10,9,1),
('entretien annuel',2021,1,1,10,1,8),
('entretien annuel',2021,1,1,10,2,8),
('entretien annuel',2021,1,1,10,3,8),
('entretien annuel',2021,1,1,10,4,8),
('entretien annuel',2021,1,1,10,5,8),
('entretien annuel',2021,1,1,10,6,8),
('entretien annuel',2021,1,1,10,7,8),
('entretien annuel',2021,1,1,10,8,8),
('entretien annuel',2021,1,1,10,9,8),
('entretien annuel',2021,1,1,10,10,2),
('entretien annuel',2021,1,1,10,11,2),
('entretien annuel',2021,1,1,10,12,2),
('entretien annuel',2021,1,1,10,13,2),
('entretien annuel',2021,1,1,10,14,2),
('entretien annuel',2021,1,1,10,15,2),
('entretien annuel',2021,1,1,10,16,2),
('entretien annuel',2021,1,1,10,17,2),
('entretien annuel',2021,1,1,10,18,2),
('entretien annuel',2021,1,1,10,19,2),
('entretien annuel',2021,1,1,10,20,2),
('entretien annuel',2021,1,1,10,10,9),
('entretien annuel',2021,1,1,10,11,9),
('entretien annuel',2021,1,1,10,12,9),
('entretien annuel',2021,1,1,10,13,9),
('entretien annuel',2021,1,1,10,14,9),
('entretien annuel',2021,1,1,10,15,9),
('entretien annuel',2021,1,1,10,16,9),
('entretien annuel',2021,1,1,10,17,9),
('entretien annuel',2021,1,1,10,18,9),
('entretien annuel',2021,1,1,10,19,9),
('entretien annuel',2021,1,1,10,20,9),
('entretien annuel',2021,1,1,10,21,3),
('entretien annuel',2021,1,1,10,22,3),
('entretien annuel',2021,1,1,10,23,3),
('entretien annuel',2021,1,1,10,24,3),
('entretien annuel',2021,1,1,10,25,3),
('entretien annuel',2021,1,1,10,26,3),
('entretien annuel',2021,1,1,10,27,3),
('entretien annuel',2021,1,1,10,28,3),
('entretien annuel',2021,1,1,10,29,3),
('entretien annuel',2021,1,1,10,21,10),
('entretien annuel',2021,1,1,10,22,10),
('entretien annuel',2021,1,1,10,23,10),
('entretien annuel',2021,1,1,10,24,10),
('entretien annuel',2021,1,1,10,25,10),
('entretien annuel',2021,1,1,10,26,10),
('entretien annuel',2021,1,1,10,27,10),
('entretien annuel',2021,1,1,10,28,10),
('entretien annuel',2021,1,1,10,29,10),
('entretien annuel',2021,1,1,10,30,4),
('entretien annuel',2021,1,1,10,31,4),
('entretien annuel',2021,1,1,10,32,4),
('entretien annuel',2021,1,1,10,33,4),
('entretien annuel',2021,1,1,10,34,4),
('entretien annuel',2021,1,1,10,35,4),
('entretien annuel',2021,1,1,10,36,4),
('entretien annuel',2021,1,1,10,37,4),
('entretien annuel',2021,1,1,10,30,11),
('entretien annuel',2021,1,1,10,31,11),
('entretien annuel',2021,1,1,10,32,11),
('entretien annuel',2021,1,1,10,33,11),
('entretien annuel',2021,1,1,10,34,11),
('entretien annuel',2021,1,1,10,35,11),
('entretien annuel',2021,1,1,10,36,11),
('entretien annuel',2021,1,1,10,37,11),
('entretien annuel',2021,1,1,10,38,5),
('entretien annuel',2021,1,1,10,39,5),
('entretien annuel',2021,1,1,10,40,5),
('entretien annuel',2021,1,1,10,41,5),
('entretien annuel',2021,1,1,10,42,5),
('entretien annuel',2021,1,1,10,43,5),
('entretien annuel',2021,1,1,10,44,5),
('entretien annuel',2021,1,1,10,45,5),
('entretien annuel',2021,1,1,10,46,5),
('entretien annuel',2021,1,1,10,47,5),
('entretien annuel',2021,1,1,10,38,12),
('entretien annuel',2021,1,1,10,39,12),
('entretien annuel',2021,1,1,10,40,12),
('entretien annuel',2021,1,1,10,41,12),
('entretien annuel',2021,1,1,10,42,12),
('entretien annuel',2021,1,1,10,43,12),
('entretien annuel',2021,1,1,10,44,12),
('entretien annuel',2021,1,1,10,45,12),
('entretien annuel',2021,1,1,10,46,12),
('entretien annuel',2021,1,1,10,47,12),
('entretien annuel',2021,1,1,10,48,6),
('entretien annuel',2021,1,1,10,49,6),
('entretien annuel',2021,1,1,10,50,6),
('entretien annuel',2021,1,1,10,51,6),
('entretien annuel',2021,1,1,10,52,6),
('entretien annuel',2021,1,1,10,53,6),
('entretien annuel',2021,1,1,10,54,6),
('entretien annuel',2021,1,1,10,55,6),
('entretien annuel',2021,1,1,10,48,13),
('entretien annuel',2021,1,1,10,49,13),
('entretien annuel',2021,1,1,10,50,13),
('entretien annuel',2021,1,1,10,51,13),
('entretien annuel',2021,1,1,10,52,13),
('entretien annuel',2021,1,1,10,53,13),
('entretien annuel',2021,1,1,10,54,13),
('entretien annuel',2021,1,1,10,55,13),
('entretien annuel',2021,1,1,10,56,7),
('entretien annuel',2021,1,1,10,57,7),
('entretien annuel',2021,1,1,10,58,7),
('entretien annuel',2021,1,1,10,59,7),
('entretien annuel',2021,1,1,10,60,7),
('entretien annuel',2021,1,1,10,61,7),
('entretien annuel',2021,1,1,10,62,7),
('entretien annuel',2021,1,1,10,63,7),
('entretien annuel',2021,1,1,10,64,7),
('entretien annuel',2021,1,1,10,65,7),
('entretien annuel',2021,1,1,10,56,14),
('entretien annuel',2021,1,1,10,57,14),
('entretien annuel',2021,1,1,10,58,14),
('entretien annuel',2021,1,1,10,59,14),
('entretien annuel',2021,1,1,10,60,14),
('entretien annuel',2021,1,1,10,61,14),
('entretien annuel',2021,1,1,10,62,14),
('entretien annuel',2021,1,1,10,63,14),
('entretien annuel',2021,1,1,10,64,14),
('entretien annuel',2021,1,1,10,65,14),
('entretien annuel',2022,1,1,10,1,1),
('entretien annuel',2022,1,1,10,2,1),
('entretien annuel',2022,1,1,10,3,1),
('entretien annuel',2022,1,1,10,4,1),
('entretien annuel',2022,1,1,10,5,1),
('entretien annuel',2022,1,1,10,6,1),
('entretien annuel',2022,1,1,10,7,1),
('entretien annuel',2022,1,1,10,8,1),
('entretien annuel',2022,1,1,10,9,1),
('entretien annuel',2022,1,1,10,1,8),
('entretien annuel',2022,1,1,10,2,8),
('entretien annuel',2022,1,1,10,3,8),
('entretien annuel',2022,1,1,10,4,8),
('entretien annuel',2022,1,1,10,5,8),
('entretien annuel',2022,1,1,10,6,8),
('entretien annuel',2022,1,1,10,7,8),
('entretien annuel',2022,1,1,10,8,8),
('entretien annuel',2022,1,1,10,9,8),
('entretien annuel',2022,1,1,10,10,2),
('entretien annuel',2022,1,1,10,11,2),
('entretien annuel',2022,1,1,10,12,2),
('entretien annuel',2022,1,1,10,13,2),
('entretien annuel',2022,1,1,10,14,2),
('entretien annuel',2022,1,1,10,15,2),
('entretien annuel',2022,1,1,10,16,2),
('entretien annuel',2022,1,1,10,17,2),
('entretien annuel',2022,1,1,10,18,2),
('entretien annuel',2022,1,1,10,19,2),
('entretien annuel',2022,1,1,10,20,2),
('entretien annuel',2022,1,1,10,10,9),
('entretien annuel',2022,1,1,10,11,9),
('entretien annuel',2022,1,1,10,12,9),
('entretien annuel',2022,1,1,10,13,9),
('entretien annuel',2022,1,1,10,14,9),
('entretien annuel',2022,1,1,10,15,9),
('entretien annuel',2022,1,1,10,16,9),
('entretien annuel',2022,1,1,10,17,9),
('entretien annuel',2022,1,1,10,18,9),
('entretien annuel',2022,1,1,10,19,9),
('entretien annuel',2022,1,1,10,20,9),
('entretien annuel',2022,1,1,10,21,3),
('entretien annuel',2022,1,1,10,22,3),
('entretien annuel',2022,1,1,10,23,3),
('entretien annuel',2022,1,1,10,24,3),
('entretien annuel',2022,1,1,10,25,3),
('entretien annuel',2022,1,1,10,26,3),
('entretien annuel',2022,1,1,10,27,3),
('entretien annuel',2022,1,1,10,28,3),
('entretien annuel',2022,1,1,10,29,3),
('entretien annuel',2022,1,1,10,21,10),
('entretien annuel',2022,1,1,10,22,10),
('entretien annuel',2022,1,1,10,23,10),
('entretien annuel',2022,1,1,10,24,10),
('entretien annuel',2022,1,1,10,25,10),
('entretien annuel',2022,1,1,10,26,10),
('entretien annuel',2022,1,1,10,27,10),
('entretien annuel',2022,1,1,10,28,10),
('entretien annuel',2022,1,1,10,29,10),
('entretien annuel',2022,1,1,10,30,4),
('entretien annuel',2022,1,1,10,31,4),
('entretien annuel',2022,1,1,10,32,4),
('entretien annuel',2022,1,1,10,33,4),
('entretien annuel',2022,1,1,10,34,4),
('entretien annuel',2022,1,1,10,35,4),
('entretien annuel',2022,1,1,10,36,4),
('entretien annuel',2022,1,1,10,37,4),
('entretien annuel',2022,1,1,10,30,11),
('entretien annuel',2022,1,1,10,31,11),
('entretien annuel',2022,1,1,10,32,11),
('entretien annuel',2022,1,1,10,33,11),
('entretien annuel',2022,1,1,10,34,11),
('entretien annuel',2022,1,1,10,35,11),
('entretien annuel',2022,1,1,10,36,11),
('entretien annuel',2022,1,1,10,37,11),
('entretien annuel',2022,1,1,10,38,5),
('entretien annuel',2022,1,1,10,39,5),
('entretien annuel',2022,1,1,10,40,5),
('entretien annuel',2022,1,1,10,41,5),
('entretien annuel',2022,1,1,10,42,5),
('entretien annuel',2022,1,1,10,43,5),
('entretien annuel',2022,1,1,10,44,5),
('entretien annuel',2022,1,1,10,45,5),
('entretien annuel',2022,1,1,10,46,5),
('entretien annuel',2022,1,1,10,47,5),
('entretien annuel',2022,1,1,10,38,12),
('entretien annuel',2022,1,1,10,39,12),
('entretien annuel',2022,1,1,10,40,12),
('entretien annuel',2022,1,1,10,41,12),
('entretien annuel',2022,1,1,10,42,12),
('entretien annuel',2022,1,1,10,43,12),
('entretien annuel',2022,1,1,10,44,12),
('entretien annuel',2022,1,1,10,45,12),
('entretien annuel',2022,1,1,10,46,12),
('entretien annuel',2022,1,1,10,47,12),
('entretien annuel',2022,1,1,10,48,6),
('entretien annuel',2022,1,1,10,49,6),
('entretien annuel',2022,1,1,10,50,6),
('entretien annuel',2022,1,1,10,51,6),
('entretien annuel',2022,1,1,10,52,6),
('entretien annuel',2022,1,1,10,53,6),
('entretien annuel',2022,1,1,10,54,6),
('entretien annuel',2022,1,1,10,55,6),
('entretien annuel',2022,1,1,10,48,13),
('entretien annuel',2022,1,1,10,49,13),
('entretien annuel',2022,1,1,10,50,13),
('entretien annuel',2022,1,1,10,51,13),
('entretien annuel',2022,1,1,10,52,13),
('entretien annuel',2022,1,1,10,53,13),
('entretien annuel',2022,1,1,10,54,13),
('entretien annuel',2022,1,1,10,55,13),
('entretien annuel',2022,1,1,10,56,7),
('entretien annuel',2022,1,1,10,57,7),
('entretien annuel',2022,1,1,10,58,7),
('entretien annuel',2022,1,1,10,59,7),
('entretien annuel',2022,1,1,10,60,7),
('entretien annuel',2022,1,1,10,61,7),
('entretien annuel',2022,1,1,10,62,7),
('entretien annuel',2022,1,1,10,63,7),
('entretien annuel',2022,1,1,10,64,7),
('entretien annuel',2022,1,1,10,65,7),
('entretien annuel',2022,1,1,10,56,14),
('entretien annuel',2022,1,1,10,57,14),
('entretien annuel',2022,1,1,10,58,14),
('entretien annuel',2022,1,1,10,59,14),
('entretien annuel',2022,1,1,10,60,14),
('entretien annuel',2022,1,1,10,61,14),
('entretien annuel',2022,1,1,10,62,14),
('entretien annuel',2022,1,1,10,63,14),
('entretien annuel',2022,1,1,10,64,14),
('entretien annuel',2022,1,1,10,65,14),
('entretien annuel',2023,1,1,10,1,1),
('entretien annuel',2023,1,1,10,2,1),
('entretien annuel',2023,1,1,10,3,1),
('entretien annuel',2023,1,1,10,4,1),
('entretien annuel',2023,1,1,10,5,1),
('entretien annuel',2023,1,1,10,6,1),
('entretien annuel',2023,1,1,10,7,1),
('entretien annuel',2023,1,1,10,8,1),
('entretien annuel',2023,1,1,10,9,1),
('entretien annuel',2023,1,1,10,1,8),
('entretien annuel',2023,1,1,10,2,8),
('entretien annuel',2023,1,1,10,3,8),
('entretien annuel',2023,1,1,10,4,8),
('entretien annuel',2023,1,1,10,5,8),
('entretien annuel',2023,1,1,10,6,8),
('entretien annuel',2023,1,1,10,7,8),
('entretien annuel',2023,1,1,10,8,8),
('entretien annuel',2023,1,1,10,9,8),
('entretien annuel',2023,1,1,10,10,2),
('entretien annuel',2023,1,1,10,11,2),
('entretien annuel',2023,1,1,10,12,2),
('entretien annuel',2023,1,1,10,13,2),
('entretien annuel',2023,1,1,10,14,2),
('entretien annuel',2023,1,1,10,15,2),
('entretien annuel',2023,1,1,10,16,2),
('entretien annuel',2023,1,1,10,17,2),
('entretien annuel',2023,1,1,10,18,2),
('entretien annuel',2023,1,1,10,19,2),
('entretien annuel',2023,1,1,10,20,2),
('entretien annuel',2023,1,1,10,10,9),
('entretien annuel',2023,1,1,10,11,9),
('entretien annuel',2023,1,1,10,12,9),
('entretien annuel',2023,1,1,10,13,9),
('entretien annuel',2023,1,1,10,14,9),
('entretien annuel',2023,1,1,10,15,9),
('entretien annuel',2023,1,1,10,16,9),
('entretien annuel',2023,1,1,10,17,9),
('entretien annuel',2023,1,1,10,18,9),
('entretien annuel',2023,1,1,10,19,9),
('entretien annuel',2023,1,1,10,20,9),
('entretien annuel',2023,1,1,10,21,3),
('entretien annuel',2023,1,1,10,22,3),
('entretien annuel',2023,1,1,10,23,3),
('entretien annuel',2023,1,1,10,24,3),
('entretien annuel',2023,1,1,10,25,3),
('entretien annuel',2023,1,1,10,26,3),
('entretien annuel',2023,1,1,10,27,3),
('entretien annuel',2023,1,1,10,28,3),
('entretien annuel',2023,1,1,10,29,3),
('entretien annuel',2023,1,1,10,21,10),
('entretien annuel',2023,1,1,10,22,10),
('entretien annuel',2023,1,1,10,23,10),
('entretien annuel',2023,1,1,10,24,10),
('entretien annuel',2023,1,1,10,25,10),
('entretien annuel',2023,1,1,10,26,10),
('entretien annuel',2023,1,1,10,27,10),
('entretien annuel',2023,1,1,10,28,10),
('entretien annuel',2023,1,1,10,29,10),
('entretien annuel',2023,1,1,10,30,4),
('entretien annuel',2023,1,1,10,31,4),
('entretien annuel',2023,1,1,10,32,4),
('entretien annuel',2023,1,1,10,33,4),
('entretien annuel',2023,1,1,10,34,4),
('entretien annuel',2023,1,1,10,35,4),
('entretien annuel',2023,1,1,10,36,4),
('entretien annuel',2023,1,1,10,37,4),
('entretien annuel',2023,1,1,10,30,11),
('entretien annuel',2023,1,1,10,31,11),
('entretien annuel',2023,1,1,10,32,11),
('entretien annuel',2023,1,1,10,33,11),
('entretien annuel',2023,1,1,10,34,11),
('entretien annuel',2023,1,1,10,35,11),
('entretien annuel',2023,1,1,10,36,11),
('entretien annuel',2023,1,1,10,37,11),
('entretien annuel',2023,1,1,10,38,5),
('entretien annuel',2023,1,1,10,39,5),
('entretien annuel',2023,1,1,10,40,5),
('entretien annuel',2023,1,1,10,41,5),
('entretien annuel',2023,1,1,10,42,5),
('entretien annuel',2023,1,1,10,43,5),
('entretien annuel',2023,1,1,10,44,5),
('entretien annuel',2023,1,1,10,45,5),
('entretien annuel',2023,1,1,10,46,5),
('entretien annuel',2023,1,1,10,47,5),
('entretien annuel',2023,1,1,10,38,12),
('entretien annuel',2023,1,1,10,39,12),
('entretien annuel',2023,1,1,10,40,12),
('entretien annuel',2023,1,1,10,41,12),
('entretien annuel',2023,1,1,10,42,12),
('entretien annuel',2023,1,1,10,43,12),
('entretien annuel',2023,1,1,10,44,12),
('entretien annuel',2023,1,1,10,45,12),
('entretien annuel',2023,1,1,10,46,12),
('entretien annuel',2023,1,1,10,47,12),
('entretien annuel',2023,1,1,10,48,6),
('entretien annuel',2023,1,1,10,49,6),
('entretien annuel',2023,1,1,10,50,6),
('entretien annuel',2023,1,1,10,51,6),
('entretien annuel',2023,1,1,10,52,6),
('entretien annuel',2023,1,1,10,53,6),
('entretien annuel',2023,1,1,10,54,6),
('entretien annuel',2023,1,1,10,55,6),
('entretien annuel',2023,1,1,10,48,13),
('entretien annuel',2023,1,1,10,49,13),
('entretien annuel',2023,1,1,10,50,13),
('entretien annuel',2023,1,1,10,51,13),
('entretien annuel',2023,1,1,10,52,13),
('entretien annuel',2023,1,1,10,53,13),
('entretien annuel',2023,1,1,10,54,13),
('entretien annuel',2023,1,1,10,55,13),
('entretien annuel',2023,1,1,10,56,7),
('entretien annuel',2023,1,1,10,57,7),
('entretien annuel',2023,1,1,10,58,7),
('entretien annuel',2023,1,1,10,59,7),
('entretien annuel',2023,1,1,10,60,7),
('entretien annuel',2023,1,1,10,61,7),
('entretien annuel',2023,1,1,10,62,7),
('entretien annuel',2023,1,1,10,63,7),
('entretien annuel',2023,1,1,10,64,7),
('entretien annuel',2023,1,1,10,65,7),
('entretien annuel',2023,1,1,10,56,14),
('entretien annuel',2023,1,1,10,57,14),
('entretien annuel',2023,1,1,10,58,14),
('entretien annuel',2023,1,1,10,59,14),
('entretien annuel',2023,1,1,10,60,14),
('entretien annuel',2023,1,1,10,61,14),
('entretien annuel',2023,1,1,10,62,14),
('entretien annuel',2023,1,1,10,63,14),
('entretien annuel',2023,1,1,10,64,14),
('entretien annuel',2023,1,1,10,65,14);

INSERT INTO detailentretien (idElement,idEntretien,annee,mois,jour,heure) VALUES
(1,1,null,null,null,null),
(2,1,null,null,null,null),
(3,1,2018,1,1,10),
(4,1,null,null,null,null),
(5,1,null,null,null,null),
(6,1,2018,1,1,10),
(391,1,2018,1,1,10),
(392,1,null,null,null,null),
(393,1,null,null,null,null),
(394,1,2018,1,1,10),
(1,10,null,null,null,null),
(2,10,2018,1,1,10),
(3,10,null,null,null,null),
(4,10,2018,1,1,10),
(5,10,null,null,null,null),
(6,10,2018,1,1,10),
(391,10,2018,1,1,10),
(392,10,2018,1,1,10),
(393,10,null,null,null,null),
(394,10,null,null,null,null),
(1,131,null,null,null,null),
(2,131,null,null,null,null),
(3,131,2019,1,1,10),
(4,131,null,null,null,null),
(5,131,2019,1,1,10),
(6,131,null,null,null,null),
(391,131,null,null,null,null),
(392,131,null,null,null,null),
(393,131,2019,1,1,10),
(394,131,null,null,null,null),
(1,140,2019,1,1,10),
(2,140,2019,1,1,10),
(3,140,2019,1,1,10),
(4,140,null,null,null,null),
(5,140,2019,1,1,10),
(6,140,2019,1,1,10),
(391,140,null,null,null,null),
(392,140,2019,1,1,10),
(393,140,2019,1,1,10),
(394,140,null,null,null,null),
(1,261,null,null,null,null),
(2,261,null,null,null,null),
(3,261,null,null,null,null),
(4,261,null,null,null,null),
(5,261,null,null,null,null),
(6,261,2020,1,1,10),
(391,261,2020,1,1,10),
(392,261,null,null,null,null),
(393,261,2020,1,1,10),
(394,261,2020,1,1,10),
(1,270,null,null,null,null),
(2,270,2020,1,1,10),
(3,270,null,null,null,null),
(4,270,null,null,null,null),
(5,270,null,null,null,null),
(6,270,null,null,null,null),
(391,270,2020,1,1,10),
(392,270,2020,1,1,10),
(393,270,null,null,null,null),
(394,270,2020,1,1,10),
(1,391,2021,1,1,10),
(2,391,null,null,null,null),
(3,391,null,null,null,null),
(4,391,2021,1,1,10),
(5,391,2021,1,1,10),
(6,391,null,null,null,null),
(391,391,null,null,null,null),
(392,391,2021,1,1,10),
(393,391,null,null,null,null),
(394,391,2021,1,1,10),
(1,400,null,null,null,null),
(2,400,null,null,null,null),
(3,400,2021,1,1,10),
(4,400,null,null,null,null),
(5,400,null,null,null,null),
(6,400,2021,1,1,10),
(391,400,null,null,null,null),
(392,400,null,null,null,null),
(393,400,null,null,null,null),
(394,400,2021,1,1,10),
(1,521,null,null,null,null),
(2,521,null,null,null,null),
(3,521,2022,1,1,10),
(4,521,2022,1,1,10),
(5,521,2022,1,1,10),
(6,521,2022,1,1,10),
(391,521,2022,1,1,10),
(392,521,null,null,null,null),
(393,521,null,null,null,null),
(394,521,null,null,null,null),
(1,530,null,null,null,null),
(2,530,null,null,null,null),
(3,530,2022,1,1,10),
(4,530,null,null,null,null),
(5,530,2022,1,1,10),
(6,530,null,null,null,null),
(391,530,2022,1,1,10),
(392,530,null,null,null,null),
(393,530,2022,1,1,10),
(394,530,null,null,null,null),
(1,651,2023,1,1,10),
(2,651,null,null,null,null),
(3,651,2023,1,1,10),
(4,651,null,null,null,null),
(5,651,null,null,null,null),
(6,651,2023,1,1,10),
(391,651,2023,1,1,10),
(392,651,null,null,null,null),
(393,651,2023,1,1,10),
(394,651,null,null,null,null),
(1,660,null,null,null,null),
(2,660,2023,1,1,10),
(3,660,null,null,null,null),
(4,660,null,null,null,null),
